"CBSA Code","CBSA Name","CBSA Type"
"29780","Las Vegas, NM","Micropolitan"
"29820","Las Vegas-Henderson-Paradise, NV","Metropolitan"
"29860","Laurel, MS","Micropolitan"
"29900","Laurinburg, NC","Micropolitan"
"29940","Lawrence, KS","Metropolitan"
"29980","Lawrenceburg, TN","Micropolitan"
"30020","Lawton, OK","Metropolitan"
"30060","Lebanon, MO","Micropolitan"
"30140","Lebanon, PA","Metropolitan"
"30220","Levelland, TX","Micropolitan"
"30260","Lewisburg, PA","Micropolitan"
"30280","Lewisburg, TN","Micropolitan"
"30300","Lewiston, ID-WA","Metropolitan"
"30340","Lewiston-Auburn, ME","Metropolitan"
"30380","Lewistown, PA","Micropolitan"
"30420","Lexington, NE","Micropolitan"
"30460","Lexington-Fayette, KY","Metropolitan"
"30580","Liberal, KS","Micropolitan"
"30620","Lima, OH","Metropolitan"
"30660","Lincoln, IL","Micropolitan"
"30700","Lincoln, NE","Metropolitan"
"30780","Little Rock-North Little Rock-Conway, AR","Metropolitan"
"30820","Lock Haven, PA","Micropolitan"
"30860","Logan, UT-ID","Metropolitan"
"30880","Logan, WV","Micropolitan"
"30900","Logansport, IN","Micropolitan"
"30940","London, KY","Micropolitan"
"30980","Longview, TX","Metropolitan"
"31020","Longview, WA","Metropolitan"
"31060","Los Alamos, NM","Micropolitan"
"31080","Los Angeles-Long Beach-Anaheim, CA","Metropolitan"
"31140","Louisville/Jefferson County, KY-IN","Metropolitan"
"31180","Lubbock, TX","Metropolitan"
"31220","Ludington, MI","Micropolitan"
"31260","Lufkin, TX","Micropolitan"
"31300","Lumberton, NC","Micropolitan"
"31340","Lynchburg, VA","Metropolitan"
"31380","Macomb, IL","Micropolitan"
"31420","Macon, GA","Metropolitan"
"31460","Madera, CA","Metropolitan"
"31500","Madison, IN","Micropolitan"
"31540","Madison, WI","Metropolitan"
"31580","Madisonville, KY","Micropolitan"
"31620","Magnolia, AR","Micropolitan"
"31660","Malone, NY","Micropolitan"
"31680","Malvern, AR","Micropolitan"
"31700","Manchester-Nashua, NH","Metropolitan"
"31740","Manhattan, KS","Metropolitan"
"31820","Manitowoc, WI","Micropolitan"
"31860","Mankato-North Mankato, MN","Metropolitan"
"31900","Mansfield, OH","Metropolitan"
"31930","Marietta, OH","Micropolitan"
"31940","Marinette, WI-MI","Micropolitan"
"31980","Marion, IN","Micropolitan"
"32000","Marion, NC","Micropolitan"
"32020","Marion, OH","Micropolitan"
"32100","Marquette, MI","Micropolitan"
"32140","Marshall, MN","Micropolitan"
"32180","Marshall, MO","Micropolitan"
"32220","Marshall, TX","Micropolitan"
"32260","Marshalltown, IA","Micropolitan"
"32280","Martin, TN","Micropolitan"
"32300","Martinsville, VA","Micropolitan"
"32340","Maryville, MO","Micropolitan"
"32380","Mason City, IA","Micropolitan"
"32420","Mayaguez, PR","Metropolitan"
"32460","Mayfield, KY","Micropolitan"
"32500","Maysville, KY","Micropolitan"
"32540","McAlester, OK","Micropolitan"
"32580","McAllen-Edinburg-Mission, TX","Metropolitan"
"32620","McComb, MS","Micropolitan"
"32660","McMinnville, TN","Micropolitan"
"32700","McPherson, KS","Micropolitan"
"32740","Meadville, PA","Micropolitan"
"32780","Medford, OR","Metropolitan"
"32820","Memphis, TN-MS-AR","Metropolitan"
"32860","Menomonie, WI","Micropolitan"
"32900","Merced, CA","Metropolitan"
"32940","Meridian, MS","Micropolitan"
"32980","Merrill, WI","Micropolitan"
"33020","Mexico, MO","Micropolitan"
"33060","Miami, OK","Micropolitan"
"33100","Miami-Fort Lauderdale-West Palm Beach, FL","Metropolitan"
"33140","Michigan City-La Porte, IN","Metropolitan"
"33180","Middlesborough, KY","Micropolitan"
"33220","Midland, MI","Metropolitan"
"33260","Midland, TX","Metropolitan"
"33300","Milledgeville, GA","Micropolitan"
"33340","Milwaukee-Waukesha-West Allis, WI","Metropolitan"
"33420","Mineral Wells, TX","Micropolitan"
"33460","Minneapolis-St. Paul-Bloomington, MN-WI","Metropolitan"
"33500","Minot, ND","Micropolitan"
"33540","Missoula, MT","Metropolitan"
"33580","Mitchell, SD","Micropolitan"
"33620","Moberly, MO","Micropolitan"
"33660","Mobile, AL","Metropolitan"
"33700","Modesto, CA","Metropolitan"
"33740","Monroe, LA","Metropolitan"
"33780","Monroe, MI","Metropolitan"
"33860","Montgomery, AL","Metropolitan"
"33940","Montrose, CO","Micropolitan"
"33980","Morehead City, NC","Micropolitan"
"34020","Morgan City, LA","Micropolitan"
"34060","Morgantown, WV","Metropolitan"
"34100","Morristown, TN","Metropolitan"
"34140","Moscow, ID","Micropolitan"
"34180","Moses Lake, WA","Micropolitan"
"34220","Moultrie, GA","Micropolitan"
"34340","Mount Airy, NC","Micropolitan"
"34380","Mount Pleasant, MI","Micropolitan"
"34420","Mount Pleasant, TX","Micropolitan"
"34460","Mount Sterling, KY","Micropolitan"
"34500","Mount Vernon, IL","Micropolitan"
"34540","Mount Vernon, OH","Micropolitan"
"34580","Mount Vernon-Anacortes, WA","Metropolitan"
"34260","Mountain Home, AR","Micropolitan"
"34300","Mountain Home, ID","Micropolitan"
"34620","Muncie, IN","Metropolitan"
"34660","Murray, KY","Micropolitan"
"34700","Muscatine, IA","Micropolitan"
"34740","Muskegon, MI","Metropolitan"
"34780","Muskogee, OK","Micropolitan"
"34820","Myrtle Beach-Conway-North Myrtle Beach, SC-NC","Metropolitan"
"34860","Nacogdoches, TX","Micropolitan"
"34900","Napa, CA","Metropolitan"
"34940","Naples-Immokalee-Marco Island, FL","Metropolitan"
"34980","Nashville-Davidson--Murfreesboro--Franklin, TN","Metropolitan"
"35020","Natchez, MS-LA","Micropolitan"
"35060","Natchitoches, LA","Micropolitan"
"35100","New Bern, NC","Metropolitan"
"35220","New Castle, IN","Micropolitan"
"35260","New Castle, PA","Micropolitan"
"35300","New Haven-Milford, CT","Metropolitan"
"35380","New Orleans-Metairie, LA","Metropolitan"
"35420","New Philadelphia-Dover, OH","Micropolitan"
"35580","New Ulm, MN","Micropolitan"
"35620","New York-Newark-Jersey City, NY-NJ-PA","Metropolitan"
"35140","Newberry, SC","Micropolitan"
"35440","Newport, OR","Micropolitan"
"35460","Newport, TN","Micropolitan"
"35500","Newton, IA","Micropolitan"
"35660","Niles-Benton Harbor, MI","Metropolitan"
"35700","Nogales, AZ","Micropolitan"
"35740","Norfolk, NE","Micropolitan"
"35820","North Platte, NE","Micropolitan"
"35840","North Port-Sarasota-Bradenton, FL","Metropolitan"
"35860","North Vernon, IN","Micropolitan"
"35900","North Wilkesboro, NC","Micropolitan"
"35940","Norwalk, OH","Micropolitan"
"35980","Norwich-New London, CT","Metropolitan"
"36020","Oak Harbor, WA","Micropolitan"
"36100","Ocala, FL","Metropolitan"
"36140","Ocean City, NJ","Metropolitan"
"36220","Odessa, TX","Metropolitan"
"36260","Ogden-Clearfield, UT","Metropolitan"
"36300","Ogdensburg-Massena, NY","Micropolitan"
"36340","Oil City, PA","Micropolitan"
"36380","Okeechobee, FL","Micropolitan"
"36420","Oklahoma City, OK","Metropolitan"
"36460","Olean, NY","Micropolitan"
"36500","Olympia-Tumwater, WA","Metropolitan"
"36540","Omaha-Council Bluffs, NE-IA","Metropolitan"
"36580","Oneonta, NY","Micropolitan"
"36620","Ontario, OR-ID","Micropolitan"
"36660","Opelousas, LA","Micropolitan"
"36700","Orangeburg, SC","Micropolitan"
"36740","Orlando-Kissimmee-Sanford, FL","Metropolitan"
"36780","Oshkosh-Neenah, WI","Metropolitan"
"36820","Oskaloosa, IA","Micropolitan"
"36830","Othello, WA","Micropolitan"
"36840","Ottawa, KS","Micropolitan"
"36860","Ottawa-Peru, IL","Micropolitan"
"36900","Ottumwa, IA","Micropolitan"
"36940","Owatonna, MN","Micropolitan"
"36980","Owensboro, KY","Metropolitan"
"37020","Owosso, MI","Micropolitan"
"37060","Oxford, MS","Micropolitan"
"37080","Oxford, NC","Micropolitan"
"37100","Oxnard-Thousand Oaks-Ventura, CA","Metropolitan"
"37120","Ozark, AL","Micropolitan"
"37140","Paducah, KY-IL","Micropolitan"
"37220","Pahrump, NV","Micropolitan"
"37260","Palatka, FL","Micropolitan"
"37300","Palestine, TX","Micropolitan"
"37340","Palm Bay-Melbourne-Titusville, FL","Metropolitan"
"37420","Pampa, TX","Micropolitan"
"37460","Panama City, FL","Metropolitan"
"37500","Paragould, AR","Micropolitan"
"37540","Paris, TN","Micropolitan"
"37580","Paris, TX","Micropolitan"
"37620","Parkersburg-Vienna, WV","Metropolitan"
"37660","Parsons, KS","Micropolitan"
"37740","Payson, AZ","Micropolitan"
"37780","Pecos, TX","Micropolitan"
"37860","Pensacola-Ferry Pass-Brent, FL","Metropolitan"
"37900","Peoria, IL","Metropolitan"
"37940","Peru, IN","Micropolitan"
"37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Metropolitan"
"38060","Phoenix-Mesa-Scottsdale, AZ","Metropolitan"
"38100","Picayune, MS","Micropolitan"
"38180","Pierre, SD","Micropolitan"
"38220","Pine Bluff, AR","Metropolitan"
"38240","Pinehurst-Southern Pines, NC","Micropolitan"
"38260","Pittsburg, KS","Micropolitan"
"38300","Pittsburgh, PA","Metropolitan"
"38340","Pittsfield, MA","Metropolitan"
"38380","Plainview, TX","Micropolitan"
"38420","Platteville, WI","Micropolitan"
"38460","Plattsburgh, NY","Micropolitan"
"38500","Plymouth, IN","Micropolitan"
"38540","Pocatello, ID","Metropolitan"
"38580","Point Pleasant, WV-OH","Micropolitan"
"38620","Ponca City, OK","Micropolitan"
"38660","Ponce, PR","Metropolitan"
"38700","Pontiac, IL","Micropolitan"
"38740","Poplar Bluff, MO","Micropolitan"
"38820","Port Angeles, WA","Micropolitan"
"38840","Port Clinton, OH","Micropolitan"
"38920","Port Lavaca, TX","Micropolitan"
"38940","Port St. Lucie, FL","Metropolitan"
"38780","Portales, NM","Micropolitan"
"38860","Portland-South Portland, ME","Metropolitan"
"38900","Portland-Vancouver-Hillsboro, OR-WA","Metropolitan"
"39020","Portsmouth, OH","Micropolitan"
"39060","Pottsville, PA","Micropolitan"
"39140","Prescott, AZ","Metropolitan"
"39220","Price, UT","Micropolitan"
"39260","Prineville, OR","Micropolitan"
"39300","Providence-Warwick, RI-MA","Metropolitan"
"39340","Provo-Orem, UT","Metropolitan"
"39380","Pueblo, CO","Metropolitan"
"39420","Pullman, WA","Micropolitan"
"39460","Punta Gorda, FL","Metropolitan"
"39500","Quincy, IL-MO","Micropolitan"
"39540","Racine, WI","Metropolitan"
"39580","Raleigh, NC","Metropolitan"
"39660","Rapid City, SD","Metropolitan"
"39700","Raymondville, TX","Micropolitan"
"39740","Reading, PA","Metropolitan"
"39780","Red Bluff, CA","Micropolitan"
"39860","Red Wing, MN","Micropolitan"
"39820","Redding, CA","Metropolitan"
"39900","Reno, NV","Metropolitan"
"39940","Rexburg, ID","Micropolitan"
"39980","Richmond, IN","Micropolitan"
"40060","Richmond, VA","Metropolitan"
"40080","Richmond-Berea, KY","Micropolitan"
"40100","Rio Grande City, TX","Micropolitan"
"40140","Riverside-San Bernardino-Ontario, CA","Metropolitan"
"40180","Riverton, WY","Micropolitan"
"40260","Roanoke Rapids, NC","Micropolitan"
"40220","Roanoke, VA","Metropolitan"
"40300","Rochelle, IL","Micropolitan"
"40340","Rochester, MN","Metropolitan"
"40380","Rochester, NY","Metropolitan"
"40540","Rock Springs, WY","Micropolitan"
"40420","Rockford, IL","Metropolitan"
"40460","Rockingham, NC","Micropolitan"
"40580","Rocky Mount, NC","Metropolitan"
"40620","Rolla, MO","Micropolitan"
"40660","Rome, GA","Metropolitan"
"40700","Roseburg, OR","Micropolitan"
"40740","Roswell, NM","Micropolitan"
"40780","Russellville, AR","Micropolitan"
"40820","Ruston, LA","Micropolitan"
"40860","Rutland, VT","Micropolitan"
"40900","Sacramento--Roseville--Arden-Arcade, CA","Metropolitan"
"40940","Safford, AZ","Micropolitan"
"40980","Saginaw, MI","Metropolitan"
"41400","Salem, OH","Micropolitan"
"41420","Salem, OR","Metropolitan"
"41460","Salina, KS","Micropolitan"
"41500","Salinas, CA","Metropolitan"
"41540","Salisbury, MD-DE","Metropolitan"
"41620","Salt Lake City, UT","Metropolitan"
"41660","San Angelo, TX","Metropolitan"
"41700","San Antonio-New Braunfels, TX","Metropolitan"
"41740","San Diego-Carlsbad, CA","Metropolitan"
"41860","San Francisco-Oakland-Hayward, CA","Metropolitan"
"41900","San Germ n, PR","Metropolitan"
"41940","San Jose-Sunnyvale-Santa Clara, CA","Metropolitan"
"41980","San Juan-Carolina-Caguas, PR","Metropolitan"
"42020","San Luis Obispo-Paso Robles-Arroyo Grande, CA","Metropolitan"
"41760","Sandpoint, ID","Micropolitan"
"41780","Sandusky, OH","Micropolitan"
"41820","Sanford, NC","Micropolitan"
"42100","Santa Cruz-Watsonville, CA","Metropolitan"
"42140","Santa Fe, NM","Metropolitan"
"42180","Santa Isabel, PR","Micropolitan"
"42200","Santa Maria-Santa Barbara, CA","Metropolitan"
"42220","Santa Rosa, CA","Metropolitan"
"42300","Sault Ste. Marie, MI","Micropolitan"
"42340","Savannah, GA","Metropolitan"
"42380","Sayre, PA","Micropolitan"
"42420","Scottsbluff, NE","Micropolitan"
"42460","Scottsboro, AL","Micropolitan"
"42540","Scranton--Wilkes-Barre--Hazleton, PA","Metropolitan"
"42620","Searcy, AR","Micropolitan"
"42660","Seattle-Tacoma-Bellevue, WA","Metropolitan"
"42680","Sebastian-Vero Beach, FL","Metropolitan"
"42700","Sebring, FL","Metropolitan"
"42740","Sedalia, MO","Micropolitan"
"42780","Selinsgrove, PA","Micropolitan"
"42820","Selma, AL","Micropolitan"
"42900","Seneca Falls, NY","Micropolitan"
"42860","Seneca, SC","Micropolitan"
"42940","Sevierville, TN","Micropolitan"
"42980","Seymour, IN","Micropolitan"
"43020","Shawano, WI","Micropolitan"
"43060","Shawnee, OK","Micropolitan"
"43100","Sheboygan, WI","Metropolitan"
"43140","Shelby, NC","Micropolitan"
"43180","Shelbyville, TN","Micropolitan"
"43220","Shelton, WA","Micropolitan"
"43260","Sheridan, WY","Micropolitan"
"43300","Sherman-Denison, TX","Metropolitan"
"43320","Show Low, AZ","Micropolitan"
"43340","Shreveport-Bossier City, LA","Metropolitan"
"43380","Sidney, OH","Micropolitan"
"43420","Sierra Vista-Douglas, AZ","Metropolitan"
"43460","Sikeston, MO","Micropolitan"
"43500","Silver City, NM","Micropolitan"
"43580","Sioux City, IA-NE-SD","Metropolitan"
"43620","Sioux Falls, SD","Metropolitan"
"43660","Snyder, TX","Micropolitan"
"43700","Somerset, KY","Micropolitan"
"43740","Somerset, PA","Micropolitan"
"43760","Sonora, CA","Micropolitan"
"43780","South Bend-Mishawaka, IN-MI","Metropolitan"
"43900","Spartanburg, SC","Metropolitan"
"43940","Spearfish, SD","Micropolitan"
"43980","Spencer, IA","Micropolitan"
"44020","Spirit Lake, IA","Micropolitan"
"44060","Spokane-Spokane Valley, WA","Metropolitan"
"44100","Springfield, IL","Metropolitan"
"44140","Springfield, MA","Metropolitan"
"44180","Springfield, MO","Metropolitan"
"44220","Springfield, OH","Metropolitan"
"41060","St. Cloud, MN","Metropolitan"
"41100","St. George, UT","Metropolitan"
"41140","St. Joseph, MO-KS","Metropolitan"
"41180","St. Louis, MO-IL","Metropolitan"
"41220","St. Marys, GA","Micropolitan"
"44260","Starkville, MS","Micropolitan"
"44300","State College, PA","Metropolitan"
"44340","Statesboro, GA","Micropolitan"
"44420","Staunton-Waynesboro, VA","Metropolitan"
"44460","Steamboat Springs, CO","Micropolitan"
"44500","Stephenville, TX","Micropolitan"
"44540","Sterling, CO","Micropolitan"
"44580","Sterling, IL","Micropolitan"
"44620","Stevens Point, WI","Micropolitan"
"44660","Stillwater, OK","Micropolitan"
"44700","Stockton-Lodi, CA","Metropolitan"
"44740","Storm Lake, IA","Micropolitan"
"44780","Sturgis, MI","Micropolitan"
"44860","Sulphur Springs, TX","Micropolitan"
"44900","Summerville, GA","Micropolitan"
"44920","Summit Park, UT","Micropolitan"
"44940","Sumter, SC","Metropolitan"
"44980","Sunbury, PA","Micropolitan"
"45000","Susanville, CA","Micropolitan"
"45020","Sweetwater, TX","Micropolitan"
"45060","Syracuse, NY","Metropolitan"
"45140","Tahlequah, OK","Micropolitan"
"45180","Talladega-Sylacauga, AL","Micropolitan"
"45220","Tallahassee, FL","Metropolitan"
"45300","Tampa-St. Petersburg-Clearwater, FL","Metropolitan"
"45340","Taos, NM","Micropolitan"
"45380","Taylorville, IL","Micropolitan"
"45460","Terre Haute, IN","Metropolitan"
"45500","Texarkana, TX-AR","Metropolitan"
"45520","The Dalles, OR","Micropolitan"
"45540","The Villages, FL","Metropolitan"
"45580","Thomaston, GA","Micropolitan"
"45620","Thomasville, GA","Micropolitan"
"45660","Tiffin, OH","Micropolitan"
"45700","Tifton, GA","Micropolitan"
"45740","Toccoa, GA","Micropolitan"
"45780","Toledo, OH","Metropolitan"
"45820","Topeka, KS","Metropolitan"
"45860","Torrington, CT","Micropolitan"
"45900","Traverse City, MI","Micropolitan"
"45940","Trenton, NJ","Metropolitan"
"45980","Troy, AL","Micropolitan"
"46020","Truckee-Grass Valley, CA","Micropolitan"
"46060","Tucson, AZ","Metropolitan"
"46100","Tullahoma-Manchester, TN","Micropolitan"
"46140","Tulsa, OK","Metropolitan"
"46180","Tupelo, MS","Micropolitan"
"46220","Tuscaloosa, AL","Metropolitan"
"46300","Twin Falls, ID","Micropolitan"
"46340","Tyler, TX","Metropolitan"
"46380","Ukiah, CA","Micropolitan"
"46460","Union City, TN-KY","Micropolitan"
"46520","Urban Honolulu, HI","Metropolitan"
"46500","Urbana, OH","Micropolitan"
"46540","Utica-Rome, NY","Metropolitan"
"46620","Uvalde, TX","Micropolitan"
"46660","Valdosta, GA","Metropolitan"
"46700","Vallejo-Fairfield, CA","Metropolitan"
"46740","Valley, AL","Micropolitan"
"46780","Van Wert, OH","Micropolitan"
"46820","Vermillion, SD","Micropolitan"
"46860","Vernal, UT","Micropolitan"
"46900","Vernon, TX","Micropolitan"
"46980","Vicksburg, MS","Micropolitan"
"47020","Victoria, TX","Metropolitan"
"47080","Vidalia, GA","Micropolitan"
"47180","Vincennes, IN","Micropolitan"
"47220","Vineland-Bridgeton, NJ","Metropolitan"
"47240","Vineyard Haven, MA","Micropolitan"
"47260","Virginia Beach-Norfolk-Newport News, VA-NC","Metropolitan"
"47300","Visalia-Porterville, CA","Metropolitan"
"47340","Wabash, IN","Micropolitan"
"47380","Waco, TX","Metropolitan"
"47420","Wahpeton, ND-MN","Micropolitan"
"47460","Walla Walla, WA","Metropolitan"
"47540","Wapakoneta, OH","Micropolitan"
"47580","Warner Robins, GA","Metropolitan"
"47620","Warren, PA","Micropolitan"
"47660","Warrensburg, MO","Micropolitan"
"47700","Warsaw, IN","Micropolitan"
"47920","Washington Court House, OH","Micropolitan"
"47780","Washington, IN","Micropolitan"
"47820","Washington, NC","Micropolitan"
"47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","Metropolitan"
"47940","Waterloo-Cedar Falls, IA","Metropolitan"
"47980","Watertown, SD","Micropolitan"
"48020","Watertown-Fort Atkinson, WI","Micropolitan"
"48060","Watertown-Fort Drum, NY","Metropolitan"
"48100","Wauchula, FL","Micropolitan"
"48140","Wausau, WI","Metropolitan"
"48180","Waycross, GA","Micropolitan"
"48220","Weatherford, OK","Micropolitan"
"48260","Weirton-Steubenville, WV-OH","Metropolitan"
"48300","Wenatchee, WA","Metropolitan"
"48460","West Plains, MO","Micropolitan"
"48540","Wheeling, WV-OH","Metropolitan"
"48580","Whitewater-Elkhorn, WI","Micropolitan"
"48660","Wichita Falls, TX","Metropolitan"
"48620","Wichita, KS","Metropolitan"
"48700","Williamsport, PA","Metropolitan"
"48780","Williston, ND","Micropolitan"
"48820","Willmar, MN","Micropolitan"
"48900","Wilmington, NC","Metropolitan"
"48940","Wilmington, OH","Micropolitan"
"48980","Wilson, NC","Micropolitan"
"49020","Winchester, VA-WV","Metropolitan"
"49080","Winnemucca, NV","Micropolitan"
"49100","Winona, MN","Micropolitan"
"49180","Winston-Salem, NC","Metropolitan"
"49220","Wisconsin Rapids-Marshfield, WI","Micropolitan"
"49260","Woodward, OK","Micropolitan"
"49300","Wooster, OH","Micropolitan"
"49340","Worcester, MA-CT","Metropolitan"
"49380","Worthington, MN","Micropolitan"
"49420","Yakima, WA","Metropolitan"
"49460","Yankton, SD","Micropolitan"
"49620","York-Hanover, PA","Metropolitan"
"49660","Youngstown-Warren-Boardman, OH-PA","Metropolitan"
"49700","Yuba City, CA","Metropolitan"
"49740","Yuma, AZ","Metropolitan"
"49780","Zanesville, OH","Micropolitan"
"49820","Zapata, TX","Micropolitan"
